"Data Source","Type","Full Object Name","Object Name","Owner","Modified Date","Attributes","Entity Sources","Residencies","PII Count","Open Access","Number of Entities"
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Fraud\MichaelDong\Raw Data/allmobileloans_20170105.csv","allmobileloans_20170105.csv","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:49:43.806","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Fraud\MichaelDong\move/OCT'18 FPD30 Investigation Analysis - 01092019.xlsx","OCT'18 FPD30 Investigation Analysis - 01092019.xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:49:41.493","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\Post_Processing\Logs/3_Log_11AUG2020091304.txt","3_Log_11AUG2020091304.txt","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:22:06.278","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\PaulaSanchez\Credit Card/CC 2019-2020 Strategy and Segmentation.xlsx","CC 2019-2020 Strategy and Segmentation.xlsx","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:22:00.667","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\PaulaSanchez\Credit Card/2019 09 18 Account origination strategy - credit card PS Notes.pptx","2019 09 18 Account origination strategy - credit card PS Notes.pptx","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:22:00.658","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\DM202011\Score QA/EXM_QA.html","EXM_QA.html","S-1-5-21-498304819-3224205621-3506385323-896714","2020-10-01 15:38:28.881","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\DM202010\Score QA/Suppression_QA.html","Suppression_QA.html","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:22:00.418","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\DM202010\Score QA/ADSM_QA.html","ADSM_QA.html","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:22:00.417","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\DM Reporting\Internal Monitoring/Internal DM Monitoring 2019-11-04.html","Internal DM Monitoring 2019-11-04.html","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:22:00.014","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\DM Documents\Experian/Ascend Data Services - Oportun.pptx","Ascend Data Services - Oportun.pptx","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:21:59.699","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\CDesai\Ad hoc/GCP mailing Freq.xlsx","GCP mailing Freq.xlsx","S-1-5-21-498304819-3224205621-3506385323-167018","2020-09-29 18:21:32.752","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\CDesai\Ad hoc/Copy of SE.xlsx","Copy of SE.xlsx","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:21:58.429","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\Barbara_Klingler\SAS Architecture/RE Oportun - Estimate of SASAccess for Amazon Red Shift  Office Analytics.htm","RE Oportun - Estimate of SASAccess for Amazon Red Shift  Office Analytics.htm","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:21:58.332","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\Analysis\20200827_PF7_PSADS/attributes_migration_analysis.xlsx","attributes_migration_analysis.xlsx","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-30 16:57:17.610","[classifier.Oportun SSN]",,,1,"No",
